Category: All categories,,
,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
South Carolina,26%,74%
North Carolina,26%,74%
Alabama,26%,74%
Kentucky,27%,73%
Tennessee,25%,75%
Pennsylvania,28%,72%
Utah,24%,76%
Delaware,28%,72%
Ohio,26%,74%
Indiana,25%,75%
Illinois,27%,73%
West Virginia,26%,74%
Virginia,27%,73%
Oklahoma,22%,78%
Michigan,25%,75%
Georgia,26%,74%
Nevada,23%,77%
Florida,27%,73%
Connecticut,26%,74%
Rhode Island,26%,74%
Mississippi,23%,77%
New Jersey,27%,73%
Maryland,27%,73%
Arkansas,25%,75%
Arizona,22%,78%
Oregon,22%,78%
Missouri,22%,78%
Wisconsin,22%,78%
Kansas,22%,78%
Idaho,22%,78%
Texas,23%,77%
Louisiana,22%,78%
Iowa,23%,77%
North Dakota,20%,80%
California,23%,77%
Nebraska,20%,80%
New York,26%,74%
Washington,22%,78%
New Hampshire,23%,77%
Minnesota,21%,79%
Colorado,21%,79%
New Mexico,22%,78%
Massachusetts,24%,76%
South Dakota,16%,84%
Maine,21%,79%
Wyoming,18%,82%
Vermont,20%,80%
Montana,16%,84%
Hawaii,16%,84%
Alaska,17%,83%
District of Columbia,20%,80%
